,category,contract,output_num,input_len,output_len,inout_len,exec_time
30,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,0,5007,1653,6660,13
31,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,1,5007,1657,6664,22
32,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,2,5007,1653,6660,13
33,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,3,5007,1653,6660,14
34,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,4,5007,1653,6660,17
35,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,0,4931,1583,6514,34
36,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,1,4931,1583,6514,30
37,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,2,4931,1582,6513,26
38,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,3,4931,1694,6625,27
39,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,4,4931,1596,6527,24
40,reentrancy,etherstore,0,4167,720,4887,21
41,reentrancy,etherstore,1,4167,808,4975,28
42,reentrancy,etherstore,2,4167,733,4900,36
43,reentrancy,etherstore,3,4167,720,4887,26
44,reentrancy,etherstore,4,4167,766,4933,37
45,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,0,4887,1521,6408,31
46,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,1,4887,1515,6402,50
47,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,2,4887,1657,6544,26
48,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,3,4887,1537,6424,36
49,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,4,4887,1554,6441,44
50,reentrancy,reentrancy_simple,0,2652,491,3143,17
51,reentrancy,reentrancy_simple,1,2652,468,3120,19
52,reentrancy,reentrancy_simple,2,2652,605,3257,14
53,reentrancy,reentrancy_simple,3,2652,491,3143,40
54,reentrancy,reentrancy_simple,4,2652,542,3194,19
55,reentrancy,0x941d225236464a25eb18076df7da6a91d0f95e9e,0,4800,1567,6367,43
56,reentrancy,0x941d225236464a25eb18076df7da6a91d0f95e9e,1,4800,1486,6286,44
57,reentrancy,0x941d225236464a25eb18076df7da6a91d0f95e9e,2,4800,1593,6393,50
58,reentrancy,0x941d225236464a25eb18076df7da6a91d0f95e9e,3,4800,1472,6272,39
59,reentrancy,0x941d225236464a25eb18076df7da6a91d0f95e9e,4,4800,1448,6248,47
60,reentrancy,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,0,4701,1413,6114,37
61,reentrancy,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,1,4701,1314,6015,29
62,reentrancy,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,2,4701,1389,6090,30
63,reentrancy,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,3,4701,1387,6088,30
64,reentrancy,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,4,4701,1428,6129,39
65,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,0,4719,1339,6058,28
66,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,1,4719,1339,6058,46
67,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,2,4719,1373,6092,121
68,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,3,4719,1345,6064,83
69,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,4,4719,1401,6120,60
70,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,0,4931,1583,6514,33
71,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,1,4931,1583,6514,32
72,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,2,4931,1588,6519,30
