,category,contract,output_num,input_len,output_len,inout_len,exec_time
81,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,1,1610,1657,3267,26
82,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,2,1610,1631,3241,31
83,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,3,1610,1699,3309,43
84,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,4,1610,1672,3282,35
85,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,0,1420,1402,2822,35
86,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,1,1420,1352,2772,24
87,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,2,1420,1208,2628,25
88,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,3,1420,1355,2775,24
89,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,4,1420,1314,2734,26
90,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,0,1648,1532,3180,14
91,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,1,1648,1557,3205,14
92,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,2,1648,1529,3177,19
93,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,3,1648,1555,3203,33
94,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,4,1648,1522,3170,20
95,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,0,1608,1731,3339,29
96,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,1,1608,1666,3274,27
97,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,2,1608,1579,3187,27
98,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,3,1608,1699,3307,46
99,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,4,1608,1643,3251,25
100,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,0,1432,1331,2763,38
101,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,1,1432,1469,2901,26
102,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,2,1432,1401,2833,26
103,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,3,1432,1332,2764,29
104,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,4,1432,1153,2585,21
105,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,0,1438,1294,2732,39
106,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,1,1438,1279,2717,21
107,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,2,1438,1227,2665,27
